stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,import_id,city_name,ext_siri1_id,ext_stop_headsigns,stop_code_insee
ACAC01,ACAC01,Acacias,Anglet - Acacias,43.49790600,-1.50815800,,,0,place_ACAC,2,ACAC01,Anglet,ACAC01,Direction ~ Norabidea: Biarritz Cité Scolaire / Bayonne Hauts de Bayonne,64024
ACAC02,ACAC02,Acacias,Anglet - Acacias,43.49790000,-1.50799200,,,0,place_ACAC,2,ACAC02,Anglet,ACAC02,Direction ~ Norabidea: Anglet Redon/La Barre / Anglet Chambre d'Amour,64024
AGUE01,AGUE01,Aguerria,Mouguerre - Aguerria,43.46924300,-1.42531400,,,0,place_AGUE,2,AGUE01,Mouguerre,AGUE01,Direction ~ Norabidea: Mouguerre Cigaro,64407
AGUE02,AGUE02,Aguerria,Mouguerre - Aguerria,43.46976500,-1.42615600,,,0,place_AGUE,2,AGUE02,Mouguerre,AGUE02,Direction ~ Norabidea: Bayonne Gare de Bayonne Parvis,64407
AGUI11,AGUI11,Aguilera,Biarritz - Aguilera,43.48105800,-1.53565800,,,0,place_AGUI,2,AGUI11,Biarritz,AGUI11,Direction ~ Norabidea: Biarritz Mairie de Biarritz Louis Barthou,64122
AGUI12,AGUI12,Aguilera,Biarritz - Aguilera,43.48095800,-1.53553300,,,0,place_AGUI,2,AGUI12,Biarritz,AGUI12,Direction ~ Norabidea: Bayonne Hauts de Bayonne,64122
AGMO01,AGMO01,Aguilera - Mont Orient,Biarritz - Aguilera - Mont Orient,43.48508800,-1.53856600,,,0,place_AGMO,2,AGMO01,Biarritz,AGMO01,Direction ~ Norabidea: Bayonne Place des Basques / Biarritz Gare de Biarritz,64122
AGMO02,AGMO02,Aguilera - Mont Orient,Biarritz - Aguilera - Mont Orient,43.48469100,-1.53863100,,,0,place_AGMO,2,AGMO02,Biarritz,AGMO02,Direction ~ Norabidea: Saint Pierre d'Irube C.Cial Ametzondo,64122
AILL01,AILL01,Aillet,Biarritz - Aillet,43.48358900,-1.54638800,,,0,place_AILL,2,AILL01,Biarritz,AILL01,Direction ~ Norabidea: Biarritz Mairie de Biarritz Louis Barthou / Bayonne Gare de Bayonne Parvis / …,64122
AILL02,AILL02,Aillet,Biarritz - Aillet,43.48323200,-1.54673200,,,0,place_AILL,2,AILL02,Biarritz,AILL02,Direction ~ Norabidea: Bayonne Hauts de Bayonne / Bayonne Gare de Bayonne Parvis / Biarritz Cité Sco…,64122
AJON01,AJON01,Ajoncs,Anglet - Ajoncs,43.51090300,-1.51866200,,,0,place_AJON,2,AJON01,Anglet,AJON01,Direction ~ Norabidea: Anglet BAB 3000,64024
AJON02,AJON02,Ajoncs,Anglet - Ajoncs,43.51126100,-1.51842300,,,0,place_AJON,2,AJON02,Anglet,AJON02,Direction ~ Norabidea: Anglet Stella Maris,64024
ALSC01,ALSC01,Alsace,Biarritz - Alsace,43.48859400,-1.55105400,,,0,place_ALSC,2,ALSC01,Biarritz,ALSC01,Direction ~ Norabidea: Biarritz Hippodrome,64122
ALSA01,ALSA01,Alsace Lorraine,Bayonne - Alsace Lorraine,43.49511700,-1.46942300,,,0,place_ALSA,2,ALSA01,Bayonne,ALSA01,Direction ~ Norabidea: Biarritz Aéroport/Bidart Izarbel / Bayonne Quartier Arènes / Anglet Chambre d…,64102
ALSA02,ALSA02,Alsace Lorraine,Bayonne - Alsace Lorraine,43.49491900,-1.46925000,,,0,place_ALSA,2,ALSA02,Bayonne,ALSA02,Direction ~ Norabidea: Bayonne Sainsontan / Bayonne Quartier St-Esprit / Bayonne Hauts de Bayonne,64102
AMA01,AMA01,Amade,Bayonne - Amade,43.50578900,-1.47522300,,,0,place_AMA-AMAD,2,AMA01,Bayonne,AMA01,Direction ~ Norabidea: Anglet Quintaou/Endarra,64102
AMAD02,AMAD02,Amade,Bayonne - Amade,43.50607500,-1.47611100,,,0,place_AMA-AMAD,2,AMAD02,Bayonne,AMAD02,Direction ~ Norabidea: Tarnos Square Mora,64102
AMLU01,AMLU01,Ametz Lura,Saint-Pierre-d'Irube - Ametz Lura,43.46166200,-1.43305500,,,0,place_AMLU,2,AMLU01,Saint-Pierre-d'Irube,AMLU01,Direction ~ Norabidea: Bayonne Lauga/Cassin/Marrac / Saint Pierre D'Irube Aturri,64496
