stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,city_name,direction_id,ext_oldid,ext_zenbus_id
SOBO02,,Bourg,Souraïde - Bourg,43.34088661,-1.47421636,,,0,place_SOBO,0,Souraïde,1,,SOBO02
URBO02,,Bourg,Bourg - Urcuit,43.48615500,-1.33812300,,,0,place_URBO,0,Urcuit,,15823_1,URBO02
LABA01,,Bourg/Abbaye,Bourg/Abbaye - Lahonce,43.48632600,-1.38733100,,,0,place_LABA,0,Lahonce,0,17758_2,LABA01
LABA02,,Bourg/Abbaye,Bourg/Abbaye - Lahonce,43.48618700,-1.38734100,,,0,place_LABA,0,Lahonce,1,17758_1,LABA02
ASBUD,,Burdin Bidea,Ascain - Burdin Bidea,43.34681000,-1.62371000,,,0,place_ASBUD,0,Ascain,1,,ASBUD
CABI01,,Camping Bixta Eder,Camping Bixta Eder - Cambo-les-Bains,43.35566500,-1.41437100,,,0,place_CABI,0,Cambo-les-Bains,,29740_2,CABI01
CABI02,,Camping Bixta Eder,Camping Bixta Eder - Cambo-les-Bains,43.35560600,-1.41413600,,,0,place_CABI,0,Cambo-les-Bains,,29740_1,CABI02
SOAM01,,Carrière,Souraïde - Carrière,43.33288475,-1.48960266,,,0,place_SOAM,0,Souraïde,0,,SOAM01
SOAM02,,Carrière,Souraïde - Carrière,43.33295011,-1.48956712,,,0,place_SOAM,0,Souraïde,1,,SOAM02
IKEA03,,Centre Commercial Ametzondo,Centre Commercial Ametzondo - Saint-Pierre-d'Irube,43.48081100,-1.44299600,,,0,place_IKEA,0,Saint-Pierre-d'Irube,,29869_1,IKEA03
OSCE01,,Centre de Loisirs,Centre de Loisirs - Ossès,43.24300511,-1.28442942,,,0,place_OSCE,0,Ossès,,16869450,OSCE01
URCE01,,Centre de secours,Centre de secours - Urt,43.49138200,-1.29885700,,,0,place_URCE,0,Urt,,15431_1,URCE01
MOCE02,,Centre Européen Fret,Centre Européen Fret - Mouguerre,43.48835600,-1.43274400,,,0,place_MOCE,0,Mouguerre,,29735_1,MOCE02
HACF01,,CFA,CFA - Hasparren,43.38188600,-1.33354800,,,0,place_HACF,0,Hasparren,,26159_2,HACF01
HACF02,,CFA,CFA - Hasparren,43.38169500,-1.33361000,,,0,place_HACF,0,Hasparren,1,26159_1,HACF02
SJCHA1,,Chantaco  LP Arrue ~ Xantako  Arrue LP,Saint-Jean-de-Luz - Chantaco  LP Arrue ~ Xantako  Arrue LP,43.37541900,-1.63788400,,,0,place_SJCHA,0,Saint-Jean-de-Luz,,,SJCHA1
SJCHA2,,Chantaco  LP Arrue ~ Xantako  Arrue LP,Saint-Jean-de-Luz - Chantaco  LP Arrue ~ Xantako  Arrue LP,43.37507100,-1.63774100,,,0,place_SJCHA,0,Saint-Jean-de-Luz,,,SJCHA2
SPCHE1,,Cherchebruit ~ Herburua,Saint-Pée-sur-Nivelle - Cherchebruit ~ Herburua,43.32175107,-1.55029857,,,0,place_SPCHE,0,Saint-Pée-sur-Nivelle,,126;SACH01,SPCHE1
SPCHE2,,Cherchebruit ~ Herburua,Saint-Pée-sur-Nivelle - Cherchebruit ~ Herburua,43.32179400,-1.55021877,,,0,place_SPCHE,0,Saint-Pée-sur-Nivelle,1,,SPCHE2
CACH01,,Chocolaterie,Chocolaterie - Cambo-les-Bains,43.35302700,-1.39843200,,,0,place_CACH,0,Cambo-les-Bains,0,787110038,CACH01
